Year,Arrivals,Sex,Country
2019,42423,Male,RepublicofSouthAfrica
2019,47327,Female,RepublicofSouthAfrica
2019,54142,Male,Others in Africa
2019,52927,Female,Others in Africa
2020,1407,Male,Brunai
2020,1037,Female,Brunai
2020,73303,Male,Cambodia
2020,90967,Female,Cambodia
2020,44024,Male,Indonesia
2020,52969,Female,Indonesia
2020,155365,Male,Laos
2020,226881,Female,Laos
2020,276251,Male,Malaysia
2020,336671,Female,Malaysia
2020,25990,Male,Myanmar
2020,28951,Female,Myanmar
2020,28155,Male,Philippines
2020,40204,Female,Philippines
2020,77446,Male,Singapore
2020,55065,Female,Singapore
2020,58765,Male,Vietnam
2020,72543,Female,Vietnam
2020,542879,Male,China
2020,759258,Female,China
2020,65661,Male,HongKong
2020,66327,Female,HongKong
2020,194329,Male,Japan
2020,119715,Female,Japan
2020,141848,Male,Korea
2020,120465,Female,Korea
2020,53447,Male,Taiwan
2020,60828,Female,Taiwan
2020,7180,Male,Others in East
2020,8119,Female,Others in East
2020,19445,Male,Austria
2020,15154,Female,Austria
2020,15794,Male,Belgium
2020,10078,Female,Belgium
2020,32894,Male,Denmark
2020,30068,Female,Denmark
2020,30991,Male,Finland
2020,26936,Female,Finland
2020,124827,Male,France
2020,106787,Female,France
2020,132113,Male,Germany
2020,99147,Female,Germany
2020,5899,Male,Ireland
2020,3815,Female,Ireland
2020,34450,Male,Italy
2020,23877,Female,Italy
2020,29209,Male,Netherlands
2020,21232,Female,Netherlands
2020,22241,Male,Norway
2020,16841,Female,Norway
2020,250573,Male,Russian
2020,335808,Female,Russian
2020,14546,Male,Spain
2020,11953,Female,Spain
2020,58609,Male,Sweden
2020,50312,Female,Sweden
2020,31317,Male,Switzerland
2020,22689,Female,Switzerland
2020,128139,Male,UnitedKingdom
2020,87722,Female,UnitedKingdom
2020,103753,Male,EastEurope
2020,107353,Female,EastEurope
2020,28672,Male,Others in Europe
2020,18494,Female,Others in Europe
2020,6020,Male,Argentina
2020,6441,Female,Argentina
2020,8898,Male,Brazil
2020,9302,Female,Brazil
2020,31617,Male,Canada
2020,24367,Female,Canada
2020,119010,Male,USA
2020,89598,Female,USA
2020,7475,Male,Others in America
2020,8522,Female,Others in America
2020,15910,Male,Bangladesh
2020,7003,Female,Bangladesh
2020,182294,Male,India
2020,82929,Female,India
2020,6735,Male,Nepal
2020,3661,Female,Nepal
2020,8954,Male,Pakistan
2020,2565,Female,Pakistan
2020,5957,Male,SriLanka
2020,2418,Female,SriLanka
2020,4908,Male,Others in Asia
2020,3554,Female,Others in Asia
