Country,Frequency,Arrivals,Year
UnitedArabEmirates,Re-visit,143187,2016
Others in Middle East,Total,346420,2016
Others in Middle East,First visit,112844,2016
Others in Middle East,Re-visit,233576,2016
SouthAfrica,Total,76541,2016
SouthAfrica,First visit,28582,2016
SouthAfrica,Re-visit,47959,2016
Others in Africa,Total,96193,2016
Others in Africa,First visit,23626,2016
Others in Africa,Re-visit,72567,2016
Brunai,Total,18249,2017
Brunai,First visit,4278,2017
Brunai,Re-visit,13971,2017
Cambodia,Total,851879,2017
Cambodia,First visit,132659,2017
Cambodia,Re-visit,719220,2017
Indonesia,Total,594060,2017
Indonesia,First visit,234525,2017
Indonesia,Re-visit,359535,2017
Laos,Total,1692866,2017
Laos,First visit,95418,2017
Laos,Re-visit,1597448,2017
Malaysia,Total,3493112,2017
Malaysia,First visit,1072491,2017
Malaysia,Re-visit,2420621,2017
Myanmar,Total,387722,2017
Myanmar,First visit,62109,2017
Myanmar,Re-visit,325613,2017
Philippines,Total,361218,2017
Philippines,First visit,127484,2017
Philippines,Re-visit,233734,2017
Singapore,Total,1259523,2017
Singapore,First visit,140359,2017
Singapore,Re-visit,1119164,2017
Vietnam,Total,985695,2017
Vietnam,First visit,369763,2017
Vietnam,Re-visit,615932,2017
China,Total,9846818,2017
China,First visit,5592476,2017
China,Re-visit,4254342,2017
HongKong,Total,798460,2017
HongKong,First visit,151694,2017
HongKong,Re-visit,646766,2017
Japan,Total,1525707,2017
Japan,First visit,322185,2017
Japan,Re-visit,1203522,2017
Korea,Total,1698608,2017
Korea,First visit,767718,2017
Korea,Re-visit,930890,2017
Taiwan,Total,560441,2017
Taiwan,First visit,163133,2017
Taiwan,Re-visit,397308,2017
Others in East,Total,91918,2017
Others in East,First visit,18838,2017
Others in East,Re-visit,73080,2017
Austria,Total,104220,2017
Austria,First visit,32597,2017
Austria,Re-visit,71623,2017
Belgium,Total,112635,2017
Belgium,First visit,36352,2017
Belgium,Re-visit,76283,2017
Denmark,Total,157923,2017
Denmark,First visit,41268,2017
Denmark,Re-visit,116655,2017
Finland,Total,138926,2017
Finland,First visit,31847,2017
Finland,Re-visit,107079,2017
France,Total,693426,2017
France,First visit,253539,2017
France,Re-visit,439887,2017
Germany,Total,837318,2017
Germany,First visit,278547,2017
Germany,Re-visit,558771,2017
Ireland,Total,59500,2017
Ireland,First visit,19659,2017
Ireland,Re-visit,39841,2017
Italy,Total,244982,2017
Italy,First visit,95853,2017
Italy,Re-visit,149129,2017
Netherlands,Total,215433,2017
Netherlands,First visit,70718,2017
Netherlands,Re-visit,144715,2017
Norway,Total,130200,2017
Norway,First visit,28193,2017
Norway,Re-visit,102007,2017
Russian,Total,1340376,2017
Russian,First visit,452312,2017
Russian,Re-visit,888064,2017
Spain,Total,178954,2017
Spain,First visit,96956,2017
Spain,Re-visit,81998,2017
Sweden,Total,317797,2017
Sweden,First visit,67760,2017
Sweden,Re-visit,250037,2017
Switzerland,Total,227152,2017
Switzerland,First visit,55825,2017
Switzerland,Re-visit,171327,2017
UnitedKingdom,Total,945061,2017
UnitedKingdom,First visit,261636,2017
UnitedKingdom,Re-visit,683425,2017
EastEurope,Total,445521,2017
EastEurope,First visit,199409,2017
EastEurope,Re-visit,246112,2017
Others in Europe,Total,172742,2017
Others in Europe,First visit,74643,2017
Others in Europe,Re-visit,98099,2017
Argentina,Total,28983,2017
Argentina,First visit,33755,2017
Argentina,Re-visit,62738,2017
Brazil,Total,31995,2017
Brazil,First visit,39354,2017
Brazil,Re-visit,71349,2017
Canada,Total,74778,2017
Canada,First visit,152291,2017
Canada,Re-visit,227069,2017
USA,Total,337341,2017
USA,First visit,669598,2017
USA,Re-visit,1006939,2017
Others in America,Total,36645,2017
Others in America,First visit,44154,2017
Others in America,Re-visit,80799,2017
Bangladesh,Total,32735,2017
Bangladesh,First visit,92845,2017
Bangladesh,Re-visit,125580,2017
India,Total,536336,2017
India,First visit,745345,2017
India,Re-visit,1281681,2017
Nepal,Total,17096,2017
Nepal,First visit,26686,2017
Nepal,Re-visit,43782,2017
Pakistan,Total,25066,2017
Pakistan,First visit,51718,2017
Pakistan,Re-visit,76784,2017
SriLanka,Total,20989,2017
SriLanka,First visit,42397,2017
SriLanka,Re-visit,63386,2017
Others in Asia,Total,8313,2017
Others in Asia,First visit,40002,2017
Others in Asia,Re-visit,48315,2017
Australia,Total,216473,2017
Australia,First visit,621012,2017
Australia,Re-visit,837485,2017
NewZealand,Total,30563,2017
NewZealand,First visit,71765,2017
NewZealand,Re-visit,102328,2017
Others in Oceania,Total,2739,2017
Others in Oceania,First visit,5225,2017
Others in Oceania,Re-visit,7964,2017
Egypt,Total,7821,2017
Egypt,First visit,11909,2017
Egypt,Re-visit,19730,2017
Israel,Total,57764,2017
Israel,First visit,117051,2017
Israel,Re-visit,174815,2017
Kuwait,Total,17284,2017
Kuwait,First visit,63611,2017
Kuwait,Re-visit,80895,2017
SaudiArabia,Total,17704,2017
SaudiArabia,First visit,24906,2017
SaudiArabia,Re-visit,42610,2017
UnitedArabEmirates,Total,47285,2017
UnitedArabEmirates,First visit,152190,2017
UnitedArabEmirates,Re-visit,199475,2017
Others in Middle East,Total,121316,2017
Others in Middle East,First visit,236202,2017
Others in Middle East,Re-visit,357518,2017
SouthAfrica,Total,41329,2017
SouthAfrica,First visit,49853,2017
SouthAfrica,Re-visit,91182,2017
Others in Africa,Total,37693,2017
Others in Africa,First visit,63419,2017
Others in Africa,Re-visit,101112,2017
Brunai,Total,18460,2018
Brunai,First visit,3664,2018
Brunai,Re-visit,14796,2018
Cambodia,Total,950980,2018
Cambodia,First visit,126145,2018
Cambodia,Re-visit,824835,2018
Indonesia,Total,644479,2018
Indonesia,First visit,245195,2018
Indonesia,Re-visit,399284,2018
Laos,Total,1682304,2018
Laos,First visit,98640,2018
Laos,Re-visit,1583664,2018
Malaysia,Total,4042998,2018
Malaysia,First visit,1190145,2018
Malaysia,Re-visit,2852853,2018
Myanmar,Total,379880,2018
Myanmar,First visit,63289,2018
Myanmar,Re-visit,316591,2018
Philippines,Total,407832,2018
Philippines,First visit,132126,2018
Philippines,Re-visit,275706,2018
Singapore,Total,1168112,2018
Singapore,First visit,109772,2018
Singapore,Re-visit,1058340,2018
Vietnam,Total,1053723,2018
Vietnam,First visit,395049,2018
Vietnam,Re-visit,658674,2018
China,Total,10625167,2018
China,First visit,5762730,2018
China,Re-visit,4862437,2018
HongKong,Total,1047559,2018
HongKong,First visit,155252,2018
HongKong,Re-visit,892307,2018
Japan,Total,1642712,2018
Japan,First visit,347328,2018
Japan,Re-visit,1295384,2018
Korea,Total,1785147,2018
Korea,First visit,776370,2018
Korea,Re-visit,1008777,2018
Taiwan,Total,674172,2018
Taiwan,First visit,189132,2018
Taiwan,Re-visit,485040,2018
Others in East,Total,101921,2018
Others in East,First visit,20210,2018
Others in East,Re-visit,81711,2018
Austria,Total,114768,2018
Austria,First visit,31123,2018
Austria,Re-visit,83645,2018
Belgium,Total,116346,2018
Belgium,First visit,36198,2018
Belgium,Re-visit,80148,2018
Denmark,Total,170044,2018
Denmark,First visit,33813,2018
Denmark,Re-visit,136231,2018
Finland,Total,135384,2018
Finland,First visit,21649,2018
Finland,Re-visit,113735,2018
France,Total,724350,2018
France,First visit,237128,2018
France,Re-visit,487222,2018
Germany,Total,872185,2018
Germany,First visit,252250,2018
Germany,Re-visit,619935,2018
Ireland,Total,58677,2018
Ireland,First visit,18786,2018
Ireland,Re-visit,39891,2018
Italy,Total,263515,2018
Italy,First visit,97303,2018
Italy,Re-visit,166212,2018
Netherlands,Total,226618,2018
Netherlands,First visit,70995,2018
Netherlands,Re-visit,155623,2018
Norway,Total,133020,2018
Norway,First visit,23459,2018
Norway,Re-visit,109561,2018
Russian,Total,1466457,2018
Russian,First visit,427572,2018
Russian,Re-visit,1038885,2018
Spain,Total,176597,2018
Spain,First visit,88569,2018
Spain,Re-visit,88028,2018
Sweden,Total,304206,2018
Sweden,First visit,41593,2018
Sweden,Re-visit,262613,2018
Switzerland,Total,225985,2018
Switzerland,First visit,45936,2018
Switzerland,Re-visit,180049,2018
UnitedKingdom,Total,954404,2018
UnitedKingdom,First visit,255055,2018
UnitedKingdom,Re-visit,699349,2018
EastEurope,Total,487669,2018
EastEurope,First visit,191657,2018
EastEurope,Re-visit,296012,2018
Others in Europe,Total,173470,2018
Others in Europe,First visit,68683,2018
Others in Europe,Re-visit,104787,2018
Argentina,Total,43485,2018
Argentina,First visit,17678,2018
Argentina,Re-visit,25807,2018
Brazil,Total,57105,2018
Brazil,First visit,23700,2018
Brazil,Re-visit,33405,2018
Canada,Total,252763,2018
Canada,First visit,84347,2018
Canada,Re-visit,168416,2018
USA,Total,1096177,2018
USA,First visit,370833,2018
USA,Re-visit,725344,2018
Others in America,Total,84478,2018
Others in America,First visit,38786,2018
Others in America,Re-visit,45692,2018
Bangladesh,Total,125809,2018
Bangladesh,First visit,29234,2018
Bangladesh,Re-visit,96575,2018
India,Total,1562878,2018
India,First visit,619057,2018
India,Re-visit,943821,2018
Nepal,Total,55482,2018
Nepal,First visit,20021,2018
Nepal,Re-visit,35461,2018
Pakistan,Total,78256,2018
Pakistan,First visit,23465,2018
Pakistan,Re-visit,54791,2018
SriLanka,Total,62697,2018
SriLanka,First visit,17305,2018
SriLanka,Re-visit,45392,2018
Others in Asia,Total,50761,2018
Others in Asia,First visit,8365,2018
Others in Asia,Re-visit,42396,2018
Australia,Total,802234,2018
Australia,First visit,183536,2018
Australia,Re-visit,618698,2018
NewZealand,Total,100887,2018
NewZealand,First visit,28575,2018
NewZealand,Re-visit,72312,2018
Others in Oceania,Total,7917,2018
Others in Oceania,First visit,2385,2018
Others in Oceania,Re-visit,5532,2018
Egypt,Total,18161,2018
Egypt,First visit,7430,2018
Egypt,Re-visit,10731,2018
Israel,Total,185366,2018
Israel,First visit,57149,2018
Israel,Re-visit,128217,2018
Kuwait,Total,77365,2018
Kuwait,First visit,15383,2018
Kuwait,Re-visit,61982,2018
SaudiArabia,Total,35090,2018
SaudiArabia,First visit,12947,2018
SaudiArabia,Re-visit,22143,2018
UnitedArabEmirates,Total,151137,2018
UnitedArabEmirates,First visit,28425,2018
UnitedArabEmirates,Re-visit,122712,2018
Others in Middle East,Total,300677,2018
Others in Middle East,First visit,86078,2018
Others in Middle East,Re-visit,214599,2018
SouthAfrica,Total,97071,2018
SouthAfrica,First visit,41891,2018
SouthAfrica,Re-visit,55180,2018
Others in Africa,Total,103257,2018
Others in Africa,First visit,34293,2018
Others in Africa,Re-visit,68964,2018
Brunai,Total,19858,2019
Brunai,First visit,3996,2019
Brunai,Re-visit,15862,2019
Cambodia,Total,925437,2019
Cambodia,First visit,93845,2019
Cambodia,Re-visit,831592,2019
Indonesia,Total,706908,2019
Indonesia,First visit,264848,2019
Indonesia,Re-visit,442060,2019
Laos,Total,1856762,2019
Laos,First visit,71323,2019
Laos,Re-visit,1785439,2019
Malaysia,Total,4274458,2019
Malaysia,First visit,1185749,2019
Malaysia,Re-visit,3088709,2019
Myanmar,Total,389301,2019
Myanmar,First visit,59827,2019
Myanmar,Re-visit,329474,2019
Philippines,Total,473565,2019
Philippines,First visit,175313,2019
Philippines,Re-visit,298252,2019
Singapore,Total,1150024,2019
Singapore,First visit,103700,2019
Singapore,Re-visit,1046324,2019
Vietnam,Total,1080609,2019
Vietnam,First visit,361973,2019
Vietnam,Re-visit,718636,2019
China,Total,11138658,2019
China,First visit,5669189,2019
China,Re-visit,5469469,2019
HongKong,Total,1090121,2019
HongKong,First visit,138229,2019
HongKong,Re-visit,951892,2019
Japan,Total,1787185,2019
Japan,First visit,407656,2019
Japan,Re-visit,1379529,2019
Korea,Total,1880465,2019
Korea,First visit,786653,2019
Korea,Re-visit,1093812,2019
Taiwan,Total,781674,2019
Taiwan,First visit,237389,2019
Taiwan,Re-visit,544285,2019
Others in East,Total,114938,2019
Others in East,First visit,22770,2019
Others in East,Re-visit,92168,2019
Austria,Total,110690,2019
Austria,First visit,33114,2019
Austria,Re-visit,77576,2019
Belgium,Total,114016,2019
Belgium,First visit,37361,2019
Belgium,Re-visit,76655,2019
Denmark,Total,159526,2019
Denmark,First visit,39212,2019
Denmark,Re-visit,120314,2019
Finland,Total,125490,2019
