0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
    Bangladesh,Total,"103,616","2,016",,,
    Bangladesh,First visit,"23,984","2,016",,,
    Bangladesh,Re-visit,"79,632","2,016",,,
    India,Total,"1,076,970","2,016",,,
    India,First visit,"428,986","2,016",,,
    India,Re-visit,"647,984","2,016",,,
    Nepal,Total,"43,170","2,016",,,
    Nepal,First visit,"15,960","2,016",,,
    Nepal,Re-visit,"27,210","2,016",,,
    Pakistan,Total,"71,720","2,016",,,
    Pakistan,First visit,"21,112","2,016",,,
    Pakistan,Re-visit,"50,608","2,016",,,
    Sri Lanka,Total,"67,876","2,016",,,
    Sri Lanka,First visit,"22,097","2,016",,,
    Sri Lanka,Re-visit,"45,779","2,016",,,
    Others in Asia,Total,"42,282","2,016",,,
    Others in Asia,First visit,"6,904","2,016",,,
    Others in Asia,Re-visit,"35,378","2,016",,,
    Australia,Total,"813,017","2,016",,,
    Australia,First visit,"226,998","2,016",,,
    Australia,Re-visit,"586,019","2,016",,,
    New Zealand,Total,"99,402","2,016",,,
    New Zealand,First visit,"30,340","2,016",,,
    New Zealand,Re-visit,"69,062","2,016",,,
    Others in Oceania,Total,"6,119","2,016",,,
    Others in Oceania,First visit,"1,842","2,016",,,
    Others in Oceania,Re-visit,"4,277","2,016",,,
    Egypt,Total,"24,913","2,016",,,
    Egypt,First visit,"9,365","2,016",,,
    Egypt,Re-visit,"15,548","2,016",,,
    Israel,Total,"161,254","2,016",,,
    Israel,First visit,"55,880","2,016",,,
    Israel,Re-visit,"105,374","2,016",,,
    Kuwait,Total,"68,168","2,016",,,
    Kuwait,First visit,"15,951","2,016",,,
    Kuwait,Re-visit,"52,217","2,016",,,
    Saudi Arabia,Total,"33,038","2,016",,,
    Saudi Arabia,First visit,"13,032","2,016",,,
    Saudi Arabia,Re-visit,"20,006","2,016",,,
    United Arab Emirates,Total,"187,665","2,016",,,
    United Arab Emirates,First visit,"44,478","2,016",,,
    United Arab Emirates,Re-visit,"143,187","2,016",,,
    Others in Middle East,Total,"346,420","2,016",,,
    Others in Middle East,First visit,"112,844","2,016",,,
    Others in Middle East,Re-visit,"233,576","2,016",,,
    South Africa,Total,"76,541","2,016",,,
    South Africa,First visit,"28,582","2,016",,,
    South Africa,Re-visit,"47,959","2,016",,,
    Others in Africa,Total,"96,193","2,016",,,
    Others in Africa,First visit,"23,626","2,016",,,
    Others in Africa,Re-visit,"72,567","2,016",,,
        Brunai,Total,"18,249","2,017",,,
        Brunai,First visit,"4,278","2,017",,,
        Brunai,Re-visit,"13,971","2,017",,,
        Cambodia,Total,"851,879","2,017",,,
        Cambodia,First visit,"132,659","2,017",,,
        Cambodia,Re-visit,"719,220","2,017",,,
        Indonesia,Total,"594,060","2,017",,,
        Indonesia,First visit,"234,525","2,017",,,
        Indonesia,Re-visit,"359,535","2,017",,,
        Laos,Total,"1,692,866","2,017",,,
