Column1,Region,Country of Residence,Age Group,No of Arrivals,Year,,,,Age group,No. of Arrival
1592,South Asia,Bangladesh,25 - 34,"5,499",2020,,,,,
1593,South Asia,Bangladesh,35 - 44,"6,261",2020,,,,,
1594,South Asia,Bangladesh,45 - 54,"4,251",2020,,,,,
1595,South Asia,Bangladesh,55 - 64,"1,979",2020,,,,,
1596,South Asia,Bangladesh,65 and Over,541,2020,,,,,
1597,South Asia,India,Total,"1,039,395",2015,,,,,
1598,South Asia,India,Under 25,"148,746",2015,,,,,
1599,South Asia,India,25 - 34,"300,478",2015,,,,,
1600,South Asia,India,35 - 44,"301,032",2015,,,,,
1601,South Asia,India,45 - 54,"177,627",2015,,,,,
1602,South Asia,India,55 - 64,"83,470",2015,,,,,
1603,South Asia,India,65 and Over,"28,042",2015,,,,,
1604,South Asia,India,Total,"1,076,970",2016,,,,,
1605,South Asia,India,Under 25,"163,110",2016,,,,,
1606,South Asia,India,25 - 34,"346,265",2016,,,,,
1607,South Asia,India,35 - 44,"286,570",2016,,,,,
1608,South Asia,India,45 - 54,"164,985",2016,,,,,
1609,South Asia,India,55 - 64,"81,825",2016,,,,,
1610,South Asia,India,65 and Over,"34,215",2016,,,,,
1611,South Asia,India,Total,"1,281,681",2017,,,,,
1612,South Asia,India,Under 25,"183,606",2017,,,,,
1613,South Asia,India,25 - 34,"399,173",2017,,,,,
1614,South Asia,India,35 - 44,"346,460",2017,,,,,
1615,South Asia,India,45 - 54,"205,461",2017,,,,,
1616,South Asia,India,55 - 64,"102,494",2017,,,,,
1617,South Asia,India,65 and Over,"44,487",2017,,,,,
1618,South Asia,India,Total,"1,562,878",2018,,,,,
1619,South Asia,India,Under 25,"233,076",2018,,,,,
1620,South Asia,India,25 - 34,"474,748",2018,,,,,
1621,South Asia,India,35 - 44,"420,795",2018,,,,,
1622,South Asia,India,45 - 54,"248,909",2018,,,,,
1623,South Asia,India,55 - 64,"126,879",2018,,,,,
1624,South Asia,India,65 and Over,"58,471",2018,,,,,
1625,South Asia,India,Total,"1,961,069",2019,,,,,
1626,South Asia,India,Under 25,"313,019",2019,,,,,
1627,South Asia,India,25 - 34,"602,754",2019,,,,,
1628,South Asia,India,35 - 44,"509,361",2019,,,,,
1629,South Asia,India,45 - 54,"299,572",2019,,,,,
1630,South Asia,India,55 - 64,"161,544",2019,,,,,
1631,South Asia,India,65 and Over,"74,819",2019,,,,,
1632,South Asia,India,Total,"265,223",2020,,,,,
1633,South Asia,India,Under 25,"37,011",2020,,,,,
1634,South Asia,India,25 - 34,"97,627",2020,,,,,
1635,South Asia,India,35 - 44,"65,360",2020,,,,,
1636,South Asia,India,45 - 54,"36,390",2020,,,,,
1637,South Asia,India,55 - 64,"20,151",2020,,,,,
1638,South Asia,India,65 and Over,"8,684",2020,,,,,
1639,South Asia,Nepal,Total,"33,325",2015,,,,,
1640,South Asia,Nepal,Under 25,"6,627",2015,,,,,
1641,South Asia,Nepal,25 - 34,"7,980",2015,,,,,
1642,South Asia,Nepal,35 - 44,"8,411",2015,,,,,
1643,South Asia,Nepal,45 - 54,"6,189",2015,,,,,
1644,South Asia,Nepal,55 - 64,"3,393",2015,,,,,
1645,South Asia,Nepal,65 and Over,725,2015,,,,,
1646,South Asia,Nepal,Total,"43,170",2016,,,,,
1647,South Asia,Nepal,Under 25,"7,698",2016,,,,,
1648,South Asia,Nepal,25 - 34,"12,807",2016,,,,,
1649,South Asia,Nepal,35 - 44,"11,057",2016,,,,,
1650,South Asia,Nepal,45 - 54,"7,309",2016,,,,,
1651,South Asia,Nepal,55 - 64,"3,211",2016,,,,,
1652,South Asia,Nepal,65 and Over,"1,088",2016,,,,,
1653,South Asia,Nepal,Total,"43,782",2017,,,,,
1654,South Asia,Nepal,Under 25,"7,462",2017,,,,,
1655,South Asia,Nepal,25 - 34,"12,972",2017,,,,,
1656,South Asia,Nepal,35 - 44,"11,296",2017,,,,,
1657,South Asia,Nepal,45 - 54,"7,403",2017,,,,,
1658,South Asia,Nepal,55 - 64,"3,626",2017,,,,,
1659,South Asia,Nepal,65 and Over,"1,023",2017,,,,,
1660,South Asia,Nepal,Total,"55,482",2018,,,,,
1661,South Asia,Nepal,Under 25,"9,732",2018,,,,,
1662,South Asia,Nepal,25 - 34,"15,851",2018,,,,,
1663,South Asia,Nepal,35 - 44,"14,109",2018,,,,,
1664,South Asia,Nepal,45 - 54,"9,957",2018,,,,,
1665,South Asia,Nepal,55 - 64,"4,383",2018,,,,,
1666,South Asia,Nepal,65 and Over,"1,450",2018,,,,,
1667,South Asia,Nepal,Total,"60,428",2019,,,,,
1668,South Asia,Nepal,Under 25,"9,780",2019,,,,,
1669,South Asia,Nepal,25 - 34,"16,733",2019,,,,,
1670,South Asia,Nepal,35 - 44,"15,252",2019,,,,,
1671,South Asia,Nepal,45 - 54,"11,204",2019,,,,,
1672,South Asia,Nepal,55 - 64,"5,364",2019,,,,,
1673,South Asia,Nepal,65 and Over,"2,095",2019,,,,,
1674,South Asia,Nepal,Total,"10,396",2020,,,,,
1675,South Asia,Nepal,Under 25,"1,854",2020,,,,,
1676,South Asia,Nepal,25 - 34,"2,913",2020,,,,,
1677,South Asia,Nepal,35 - 44,"2,636",2020,,,,,
1678,South Asia,Nepal,45 - 54,"1,643",2020,,,,,
1679,South Asia,Nepal,55 - 64,929,2020,,,,,
1680,South Asia,Nepal,65 and Over,421,2020,,,,,
1681,South Asia,Pakistan,Total,"76,366",2015,,,,,
1682,South Asia,Pakistan,Under 25,"10,056",2015,,,,,
1683,South Asia,Pakistan,25 - 34,"20,835",2015,,,,,
1684,South Asia,Pakistan,35 - 44,"22,638",2015,,,,,
1685,South Asia,Pakistan,45 - 54,"14,622",2015,,,,,
1686,South Asia,Pakistan,55 - 64,"6,626",2015,,,,,
1687,South Asia,Pakistan,65 and Over,"1,589",2015,,,,,
1688,South Asia,Pakistan,Total,"71,720",2016,,,,,
1689,South Asia,Pakistan,Under 25,"13,198",2016,,,,,
1690,South Asia,Pakistan,25 - 34,"23,971",2016,,,,,
1691,South Asia,Pakistan,35 - 44,"18,192",2016,,,,,
1692,South Asia,Pakistan,45 - 54,"10,001",2016,,,,,
1693,South Asia,Pakistan,55 - 64,"4,850",2016,,,,,
1694,South Asia,Pakistan,65 and Over,"1,508",2016,,,,,
1695,South Asia,Pakistan,Total,"76,784",2017,,,,,
1696,South Asia,Pakistan,Under 25,"13,501",2017,,,,,
1697,South Asia,Pakistan,25 - 34,"23,902",2017,,,,,
1698,South Asia,Pakistan,35 - 44,"19,998",2017,,,,,
1699,South Asia,Pakistan,45 - 54,"12,047",2017,,,,,
1700,South Asia,Pakistan,55 - 64,"5,531",2017,,,,,
1701,South Asia,Pakistan,65 and Over,"1,805",2017,,,,,
1702,South Asia,Pakistan,Total,"78,256",2018,,,,,
1703,South Asia,Pakistan,Under 25,"13,837",2018,,,,,
1704,South Asia,Pakistan,25 - 34,"25,431",2018,,,,,
1705,South Asia,Pakistan,35 - 44,"19,461",2018,,,,,
1706,South Asia,Pakistan,45 - 54,"11,892",2018,,,,,
1707,South Asia,Pakistan,55 - 64,"5,720",2018,,,,,
1708,South Asia,Pakistan,65 and Over,"1,915",2018,,,,,
1709,South Asia,Pakistan,Total,"71,917",2019,,,,,
1710,South Asia,Pakistan,Under 25,"13,082",2019,,,,,
1711,South Asia,Pakistan,25 - 34,"23,153",2019,,,,,
1712,South Asia,Pakistan,35 - 44,"18,250",2019,,,,,
1713,South Asia,Pakistan,45 - 54,"10,695",2019,,,,,
1714,South Asia,Pakistan,55 - 64,"4,844",2019,,,,,
1715,South Asia,Pakistan,65 and Over,"1,893",2019,,,,,
1716,South Asia,Pakistan,Total,"11,519",2020,,,,,
1717,South Asia,Pakistan,Under 25,"1,926",2020,,,,,
1718,South Asia,Pakistan,25 - 34,"3,935",2020,,,,,
1719,South Asia,Pakistan,35 - 44,"2,668",2020,,,,,
1720,South Asia,Pakistan,45 - 54,"1,838",2020,,,,,
1721,South Asia,Pakistan,55 - 64,786,2020,,,,,
1722,South Asia,Pakistan,65 and Over,366,2020,,,,,
1723,South Asia,Sri Lanka,Total,"75,595",2015,,,,,
1724,South Asia,Sri Lanka,Under 25,"12,994",2015,,,,,
1725,South Asia,Sri Lanka,25 - 34,"15,465",2015,,,,,
1726,South Asia,Sri Lanka,35 - 44,"19,572",2015,,,,,
1727,South Asia,Sri Lanka,45 - 54,"16,619",2015,,,,,
1728,South Asia,Sri Lanka,55 - 64,"8,159",2015,,,,,
1729,South Asia,Sri Lanka,65 and Over,"2,786",2015,,,,,
1730,South Asia,Sri Lanka,Total,"67,876",2016,,,,,
1731,South Asia,Sri Lanka,Under 25,"14,651",2016,,,,,
1732,South Asia,Sri Lanka,25 - 34,"15,556",2016,,,,,
1733,South Asia,Sri Lanka,35 - 44,"15,269",2016,,,,,
1734,South Asia,Sri Lanka,45 - 54,"11,602",2016,,,,,
1735,South Asia,Sri Lanka,55 - 64,"7,440",2016,,,,,
1736,South Asia,Sri Lanka,65 and Over,"3,358",2016,,,,,
1737,South Asia,Sri Lanka,Total,"63,386",2017,,,,,
1738,South Asia,Sri Lanka,Under 25,"11,342",2017,,,,,
1739,South Asia,Sri Lanka,25 - 34,"15,350",2017,,,,,
1740,South Asia,Sri Lanka,35 - 44,"14,587",2017,,,,,
1741,South Asia,Sri Lanka,45 - 54,"11,690",2017,,,,,
1742,South Asia,Sri Lanka,55 - 64,"6,923",2017,,,,,
1743,South Asia,Sri Lanka,65 and Over,"3,494",2017,,,,,
1744,South Asia,Sri Lanka,Total,"62,697",2018,,,,,
1745,South Asia,Sri Lanka,Under 25,"10,333",2018,,,,,
1746,South Asia,Sri Lanka,25 - 34,"14,797",2018,,,,,
1747,South Asia,Sri Lanka,35 - 44,"14,040",2018,,,,,
1748,South Asia,Sri Lanka,45 - 54,"12,254",2018,,,,,
1749,South Asia,Sri Lanka,55 - 64,"7,566",2018,,,,,
1750,South Asia,Sri Lanka,65 and Over,"3,707",2018,,,,,
1751,South Asia,Sri Lanka,Total,"70,247",2019,,,,,
1752,South Asia,Sri Lanka,Under 25,"10,927",2019,,,,,
1753,South Asia,Sri Lanka,25 - 34,"15,438",2019,,,,,
1754,South Asia,Sri Lanka,35 - 44,"16,269",2019,,,,,
1755,South Asia,Sri Lanka,45 - 54,"14,950",2019,,,,,
1756,South Asia,Sri Lanka,55 - 64,"8,704",2019,,,,,
1757,South Asia,Sri Lanka,65 and Over,"3,959",2019,,,,,
1758,South Asia,Sri Lanka,Total,"8,375",2020,,,,,
1759,South Asia,Sri Lanka,Under 25,"1,259",2020,,,,,
1760,South Asia,Sri Lanka,25 - 34,"2,029",2020,,,,,
1761,South Asia,Sri Lanka,35 - 44,"1,918",2020,,,,,
1762,South Asia,Sri Lanka,45 - 54,"1,577",2020,,,,,
1763,South Asia,Sri Lanka,55 - 64,"1,139",2020,,,,,
1764,South Asia,Sri Lanka,65 and Over,453,2020,,,,,
1765,Asia,Others in Asia,Total,"40,578",2015,,,,,
1766,Asia,Others in Asia,Under 25,"8,120",2015,,,,,
1767,Asia,Others in Asia,25 - 34,"9,501",2015,,,,,
1768,Asia,Others in Asia,35 - 44,"11,279",2015,,,,,
1769,Asia,Others in Asia,45 - 54,"7,590",2015,,,,,
1770,Asia,Others in Asia,55 - 64,"3,339",2015,,,,,
1771,Asia,Others in Asia,65 and Over,749,2015,,,,,
1772,Asia,Others in Asia,Total,"42,282",2016,,,,,
1773,Asia,Others in Asia,Under 25,"7,976",2016,,,,,
1774,Asia,Others in Asia,25 - 34,"13,688",2016,,,,,
1775,Asia,Others in Asia,35 - 44,"10,940",2016,,,,,
1776,Asia,Others in Asia,45 - 54,"6,170",2016,,,,,
1777,Asia,Others in Asia,55 - 64,"2,672",2016,,,,,
1778,Asia,Others in Asia,65 and Over,836,2016,,,,,
1779,Asia,Others in Asia,Total,"48,315",2017,,,,,
1780,Asia,Others in Asia,Under 25,"9,938",2017,,,,,
1781,Asia,Others in Asia,25 - 34,"15,125",2017,,,,,
1782,Asia,Others in Asia,35 - 44,"12,002",2017,,,,,
1783,Asia,Others in Asia,45 - 54,"7,260",2017,,,,,
1784,Asia,Others in Asia,55 - 64,"2,949",2017,,,,,
1785,Asia,Others in Asia,65 and Over,"1,041",2017,,,,,
1786,Asia,Others in Asia,Total,"50,761",2018,,,,,
1787,Asia,Others in Asia,Under 25,"9,704",2018,,,,,
1788,Asia,Others in Asia,25 - 34,"15,851",2018,,,,,
1789,Asia,Others in Asia,35 - 44,"12,934",2018,,,,,
1790,Asia,Others in Asia,45 - 54,"7,738",2018,,,,,
1791,Asia,Others in Asia,55 - 64,"3,426",2018,,,,,
1792,Asia,Others in Asia,65 and Over,"1,108",2018,,,,,
1793,Asia,Others in Asia,Total,"53,694",2019,,,,,
1794,Asia,Others in Asia,Under 25,"10,202",2019,,,,,
1795,Asia,Others in Asia,25 - 34,"15,320",2019,,,,,
1796,Asia,Others in Asia,35 - 44,"14,079",2019,,,,,
1797,Asia,Others in Asia,45 - 54,"8,819",2019,,,,,
1798,Asia,Others in Asia,55 - 64,"4,049",2019,,,,,
1799,Asia,Others in Asia,65 and Over,"1,225",2019,,,,,
1800,Asia,Others in Asia,Total,"8,462",2020,,,,,
1801,Asia,Others in Asia,Under 25,"1,947",2020,,,,,
1802,Asia,Others in Asia,25 - 34,"2,358",2020,,,,,
1803,Asia,Others in Asia,35 - 44,"1,985",2020,,,,,
1804,Asia,Others in Asia,45 - 54,"1,220",2020,,,,,
1805,Asia,Others in Asia,55 - 64,671,2020,,,,,
1806,Asia,Others in Asia,65 and Over,281,2020,,,,,
1807,Oceania,Australia,Total,"816,053",2015,,,,,
1808,Oceania,Australia,Under 25,"139,202",2015,,,,,
1809,Oceania,Australia,25 - 34,"183,715",2015,,,,,
1810,Oceania,Australia,35 - 44,"146,554",2015,,,,,
1811,Oceania,Australia,45 - 54,"163,002",2015,,,,,
1812,Oceania,Australia,55 - 64,"124,820",2015,,,,,
1813,Oceania,Australia,65 and Over,"58,760",2015,,,,,
1814,Oceania,Australia,Total,"813,017",2016,,,,,
1815,Oceania,Australia,Under 25,"146,905",2016,,,,,
1816,Oceania,Australia,25 - 34,"243,476",2016,,,,,
1817,Oceania,Australia,35 - 44,"133,817",2016,,,,,
1818,Oceania,Australia,45 - 54,"124,937",2016,,,,,
1819,Oceania,Australia,55 - 64,"100,391",2016,,,,,
1820,Oceania,Australia,65 and Over,"63,491",2016,,,,,
1821,Oceania,Australia,Total,"837,485",2017,,,,,
1822,Oceania,Australia,Under 25,"159,703",2017,,,,,
1823,Oceania,Australia,25 - 34,"179,461",2017,,,,,
1824,Oceania,Australia,35 - 44,"138,895",2017,,,,,
1825,Oceania,Australia,45 - 54,"144,018",2017,,,,,
1826,Oceania,Australia,55 - 64,"125,976",2017,,,,,
1827,Oceania,Australia,65 and Over,"89,432",2017,,,,,
1828,Oceania,Australia,Total,"802,234",2018,,,,,
1829,Oceania,Australia,Under 25,"155,372",2018,,,,,
1830,Oceania,Australia,25 - 34,"151,460",2018,,,,,
1831,Oceania,Australia,35 - 44,"130,087",2018,,,,,
1832,Oceania,Australia,45 - 54,"142,786",2018,,,,,
1833,Oceania,Australia,55 - 64,"129,898",2018,,,,,
1834,Oceania,Australia,65 and Over,"92,631",2018,,,,,
1835,Oceania,Australia,Total,"771,798",2019,,,,,
1836,Oceania,Australia,Under 25,"150,430",2019,,,,,
1837,Oceania,Australia,25 - 34,"140,712",2019,,,,,
1838,Oceania,Australia,35 - 44,"127,995",2019,,,,,
1839,Oceania,Australia,45 - 54,"140,084",2019,,,,,
1840,Oceania,Australia,55 - 64,"124,605",2019,,,,,
1841,Oceania,Australia,65 and Over,"87,972",2019,,,,,
1842,Oceania,Australia,Total,"123,743",2020,,,,,
1843,Oceania,Australia,Under 25,"26,611",2020,,,,,
1844,Oceania,Australia,25 - 34,"24,052",2020,,,,,
1845,Oceania,Australia,35 - 44,"20,687",2020,,,,,
1846,Oceania,Australia,45 - 54,"20,756",2020,,,,,
1847,Oceania,Australia,55 - 64,"18,504",2020,,,,,
1848,Oceania,Australia,65 and Over,"13,133",2020,,,,,
1849,Oceania,New Zealand,Total,"102,271",2015,,,,,
1850,Oceania,New Zealand,Under 25,"17,925",2015,,,,,
1851,Oceania,New Zealand,25 - 34,"24,152",2015,,,,,
1852,Oceania,New Zealand,35 - 44,"14,874",2015,,,,,
1853,Oceania,New Zealand,45 - 54,"21,826",2015,,,,,
1854,Oceania,New Zealand,55 - 64,"15,729",2015,,,,,
1855,Oceania,New Zealand,65 and Over,"7,765",2015,,,,,
1856,Oceania,New Zealand,Total,"99,402",2016,,,,,
1857,Oceania,New Zealand,Under 25,"24,681",2016,,,,,
1858,Oceania,New Zealand,25 - 34,"27,730",2016,,,,,
1859,Oceania,New Zealand,35 - 44,"13,759",2016,,,,,
1860,Oceania,New Zealand,45 - 54,"14,174",2016,,,,,
1861,Oceania,New Zealand,55 - 64,"11,679",2016,,,,,
1862,Oceania,New Zealand,65 and Over,"7,379",2016,,,,,
1863,Oceania,New Zealand,Total,"102,328",2017,,,,,
1864,Oceania,New Zealand,Under 25,"21,176",2017,,,,,
1865,Oceania,New Zealand,25 - 34,"24,973",2017,,,,,
1866,Oceania,New Zealand,35 - 44,"15,167",2017,,,,,
1867,Oceania,New Zealand,45 - 54,"16,638",2017,,,,,
1868,Oceania,New Zealand,55 - 64,"14,404",2017,,,,,
1869,Oceania,New Zealand,65 and Over,"9,970",2017,,,,,
1870,Oceania,New Zealand,Total,"100,887",2018,,,,,
1871,Oceania,New Zealand,Under 25,"19,782",2018,,,,,
1872,Oceania,New Zealand,25 - 34,"21,670",2018,,,,,
1873,Oceania,New Zealand,35 - 44,"14,774",2018,,,,,
1874,Oceania,New Zealand,45 - 54,"18,300",2018,,,,,
1875,Oceania,New Zealand,55 - 64,"14,991",2018,,,,,
1876,Oceania,New Zealand,65 and Over,"11,370",2018,,,,,
1877,Oceania,New Zealand,Total,"93,740",2019,,,,,
1878,Oceania,New Zealand,Under 25,"18,362",2019,,,,,
1879,Oceania,New Zealand,25 - 34,"17,727",2019,,,,,
1880,Oceania,New Zealand,35 - 44,"14,405",2019,,,,,
1881,Oceania,New Zealand,45 - 54,"17,080",2019,,,,,
1882,Oceania,New Zealand,55 - 64,"15,554",2019,,,,,
1883,Oceania,New Zealand,65 and Over,"10,612",2019,,,,,
1884,Oceania,New Zealand,Total,"13,773",2020,,,,,
1885,Oceania,New Zealand,Under 25,"3,035",2020,,,,,
1886,Oceania,New Zealand,25 - 34,"3,112",2020,,,,,
1887,Oceania,New Zealand,35 - 44,"2,386",2020,,,,,
1888,Oceania,New Zealand,45 - 54,"2,102",2020,,,,,
1889,Oceania,New Zealand,55 - 64,"1,972",2020,,,,,
1890,Oceania,New Zealand,65 and Over,"1,166",2020,,,,,
1891,Oceania,Others in Oceania,Total,"5,562",2015,,,,,
1892,Oceania,Others in Oceania,Under 25,"1,260",2015,,,,,
1893,Oceania,Others in Oceania,25 - 34,690,2015,,,,,
1894,Oceania,Others in Oceania,35 - 44,"1,309",2015,,,,,
1895,Oceania,Others in Oceania,45 - 54,"1,217",2015,,,,,
1896,Oceania,Others in Oceania,55 - 64,769,2015,,,,,
1897,Oceania,Others in Oceania,65 and Over,317,2015,,,,,
1898,Oceania,Others in Oceania,Total,"6,119",2016,,,,,
1899,Oceania,Others in Oceania,Under 25,828,2016,,,,,
1900,Oceania,Others in Oceania,25 - 34,"1,189",2016,,,,,
1901,Oceania,Others in Oceania,35 - 44,"1,267",2016,,,,,
1902,Oceania,Others in Oceania,45 - 54,"1,304",2016,,,,,
1903,Oceania,Others in Oceania,55 - 64,"1,093",2016,,,,,
1904,Oceania,Others in Oceania,65 and Over,438,2016,,,,,
1905,Oceania,Others in Oceania,Total,"7,964",2017,,,,,
1906,Oceania,Others in Oceania,Under 25,985,2017,,,,,
1907,Oceania,Others in Oceania,25 - 34,"1,509",2017,,,,,
1908,Oceania,Others in Oceania,35 - 44,"1,692",2017,,,,,
1909,Oceania,Others in Oceania,45 - 54,"1,660",2017,,,,,
1910,Oceania,Others in Oceania,55 - 64,"1,389",2017,,,,,
1911,Oceania,Others in Oceania,65 and Over,729,2017,,,,,
1912,Oceania,Others in Oceania,Total,"7,917",2018,,,,,
1913,Oceania,Others in Oceania,Under 25,956,2018,,,,,
1914,Oceania,Others in Oceania,25 - 34,"1,534",2018,,,,,
1915,Oceania,Others in Oceania,35 - 44,"1,748",2018,,,,,
1916,Oceania,Others in Oceania,45 - 54,"1,657",2018,,,,,
1917,Oceania,Others in Oceania,55 - 64,"1,333",2018,,,,,
1918,Oceania,Others in Oceania,65 and Over,689,2018,,,,,
1919,Oceania,Others in Oceania,Total,"8,616",2019,,,,,
1920,Oceania,Others in Oceania,Under 25,"1,037",2019,,,,,
1921,Oceania,Others in Oceania,25 - 34,"1,442",2019,,,,,
1922,Oceania,Others in Oceania,35 - 44,"2,018",2019,,,,,
1923,Oceania,Others in Oceania,45 - 54,"1,800",2019,,,,,
1924,Oceania,Others in Oceania,55 - 64,"1,476",2019,,,,,
1925,Oceania,Others in Oceania,65 and Over,843,2019,,,,,
1926,Oceania,Others in Oceania,Total,"1,458",2020,,,,,
1927,Oceania,Others in Oceania,Under 25,183,2020,,,,,
1928,Oceania,Others in Oceania,25 - 34,243,2020,,,,,
1929,Oceania,Others in Oceania,35 - 44,307,2020,,,,,
1930,Oceania,Others in Oceania,45 - 54,313,2020,,,,,
1931,Oceania,Others in Oceania,55 - 64,264,2020,,,,,
1932,Oceania,Others in Oceania,65 and Over,148,2020,,,,,
1933,Middle East,Egypt,Total,"22,851",2015,,,,,
1934,Middle East,Egypt,Under 25,"3,948",2015,,,,,
1935,Middle East,Egypt,25 - 34,"8,356",2015,,,,,
1936,Middle East,Egypt,35 - 44,"4,822",2015,,,,,
1937,Middle East,Egypt,45 - 54,"3,179",2015,,,,,
1938,Middle East,Egypt,55 - 64,"2,026",2015,,,,,
1939,Middle East,Egypt,65 and Over,520,2015,,,,,
1940,Middle East,Egypt,Total,"24,913",2016,,,,,
1941,Middle East,Egypt,Under 25,"5,838",2016,,,,,
1942,Middle East,Egypt,25 - 34,"9,786",2016,,,,,
1943,Middle East,Egypt,35 - 44,"5,133",2016,,,,,
1944,Middle East,Egypt,45 - 54,"2,489",2016,,,,,
1945,Middle East,Egypt,55 - 64,"1,188",2016,,,,,
1946,Middle East,Egypt,65 and Over,479,2016,,,,,
1947,Middle East,Egypt,Total,"19,730",2017,,,,,
1948,Middle East,Egypt,Under 25,"3,528",2017,,,,,
1949,Middle East,Egypt,25 - 34,"8,404",2017,,,,,
1950,Middle East,Egypt,35 - 44,"4,179",2017,,,,,
1951,Middle East,Egypt,45 - 54,"2,017",2017,,,,,
1952,Middle East,Egypt,55 - 64,"1,159",2017,,,,,
1953,Middle East,Egypt,65 and Over,443,2017,,,,,
1954,Middle East,Egypt,Total,"18,161",2018,,,,,
1955,Middle East,Egypt,Under 25,"3,109",2018,,,,,
1956,Middle East,Egypt,25 - 34,"7,331",2018,,,,,
1957,Middle East,Egypt,35 - 44,"3,840",2018,,,,,
1958,Middle East,Egypt,45 - 54,"2,222",2018,,,,,
1959,Middle East,Egypt,55 - 64,"1,222",2018,,,,,
1960,Middle East,Egypt,65 and Over,437,2018,,,,,
1961,Middle East,Egypt,Total,"19,010",2019,,,,,
1962,Middle East,Egypt,Under 25,"3,111",2019,,,,,
1963,Middle East,Egypt,25 - 34,"6,942",2019,,,,,
1964,Middle East,Egypt,35 - 44,"4,568",2019,,,,,
1965,Middle East,Egypt,45 - 54,"2,391",2019,,,,,
1966,Middle East,Egypt,55 - 64,"1,354",2019,,,,,
1967,Middle East,Egypt,65 and Over,644,2019,,,,,
1968,Middle East,Egypt,Total,"3,084",2020,,,,,
1969,Middle East,Egypt,Under 25,506,2020,,,,,
1970,Middle East,Egypt,25 - 34,968,2020,,,,,
1971,Middle East,Egypt,35 - 44,702,2020,,,,,
1972,Middle East,Egypt,45 - 54,430,2020,,,,,
1973,Middle East,Egypt,55 - 64,283,2020,,,,,
1974,Middle East,Egypt,65 and Over,195,2020,,,,,
1975,Southern/Medit. Europe,Israel,Total,"138,499",2015,,,,,
1976,Southern/Medit. Europe,Israel,Under 25,"30,083",2015,,,,,
1977,Southern/Medit. Europe,Israel,25 - 34,"26,863",2015,,,,,
1978,Southern/Medit. Europe,Israel,35 - 44,"29,589",2015,,,,,
1979,Southern/Medit. Europe,Israel,45 - 54,"24,774",2015,,,,,
1980,Southern/Medit. Europe,Israel,55 - 64,"19,030",2015,,,,,
1981,Southern/Medit. Europe,Israel,65 and Over,"8,160",2015,,,,,
1982,Southern/Medit. Europe,Israel,Total,"161,254",2016,,,,,
1983,Southern/Medit. Europe,Israel,Under 25,"49,427",2016,,,,,
1984,Southern/Medit. Europe,Israel,25 - 34,"40,036",2016,,,,,
1985,Southern/Medit. Europe,Israel,35 - 44,"24,130",2016,,,,,
1986,Southern/Medit. Europe,Israel,45 - 54,"20,600",2016,,,,,
1987,Southern/Medit. Europe,Israel,55 - 64,"16,962",2016,,,,,
1988,Southern/Medit. Europe,Israel,65 and Over,"10,099",2016,,,,,
1989,Southern/Medit. Europe,Israel,Total,"174,815",2017,,,,,
1990,Southern/Medit. Europe,Israel,Under 25,"51,433",2017,,,,,
1991,Southern/Medit. Europe,Israel,25 - 34,"37,961",2017,,,,,
1992,Southern/Medit. Europe,Israel,35 - 44,"27,359",2017,,,,,
1993,Southern/Medit. Europe,Israel,45 - 54,"26,004",2017,,,,,
1994,Southern/Medit. Europe,Israel,55 - 64,"18,565",2017,,,,,
1995,Southern/Medit. Europe,Israel,65 and Over,"13,493",2017,,,,,
1996,Southern/Medit. Europe,Israel,Total,"185,366",2018,,,,,
1997,Southern/Medit. Europe,Israel,Under 25,"53,039",2018,,,,,
1998,Southern/Medit. Europe,Israel,25 - 34,"41,993",2018,,,,,
1999,Southern/Medit. Europe,Israel,35 - 44,"28,188",2018,,,,,
2000,Southern/Medit. Europe,Israel,45 - 54,"27,271",2018,,,,,
2001,Southern/Medit. Europe,Israel,55 - 64,"20,434",2018,,,,,
2002,Southern/Medit. Europe,Israel,65 and Over,"14,441",2018,,,,,
2003,Southern/Medit. Europe,Israel,Total,"194,081",2019,,,,,
2004,Southern/Medit. Europe,Israel,Under 25,"63,480",2019,,,,,
2005,Southern/Medit. Europe,Israel,25 - 34,"42,391",2019,,,,,
2006,Southern/Medit. Europe,Israel,35 - 44,"27,107",2019,,,,,
2007,Southern/Medit. Europe,Israel,45 - 54,"27,798",2019,,,,,
2008,Southern/Medit. Europe,Israel,55 - 64,"19,224",2019,,,,,
2009,Southern/Medit. Europe,Israel,65 and Over,"14,081",2019,,,,,
2010,Southern/Medit. Europe,Israel,Total,"29,568",2020,,,,,
2011,Southern/Medit. Europe,Israel,Under 25,"7,286",2020,,,,,
2012,Southern/Medit. Europe,Israel,25 - 34,"6,200",2020,,,,,
2013,Southern/Medit. Europe,Israel,35 - 44,"4,797",2020,,,,,
2014,Southern/Medit. Europe,Israel,45 - 54,"4,832",2020,,,,,
2015,Southern/Medit. Europe,Israel,55 - 64,"3,668",2020,,,,,
2016,Southern/Medit. Europe,Israel,65 and Over,"2,785",2020,,,,,
2017,Middle East,Kuwait,Total,"72,830",2015,,,,,
2018,Middle East,Kuwait,Under 25,"16,772",2015,,,,,
2019,Middle East,Kuwait,25 - 34,"17,286",2015,,,,,
2020,Middle East,Kuwait,35 - 44,"15,865",2015,,,,,
2021,Middle East,Kuwait,45 - 54,"14,244",2015,,,,,
2022,Middle East,Kuwait,55 - 64,"6,568",2015,,,,,
2023,Middle East,Kuwait,65 and Over,"2,095",2015,,,,,
